season,HT,plot,shdi,ReS,GrE,CrO,UcN,PuU,CoM,InS,Wa,prd,REI,RE,RN,RRatio,FDE,FDN,CoverageE,CoverageN,HeightE,HeightN,LeafSE,LeafSN,InDE,InDN,InNE,InNN,FlowerDE,FlowerDN,FruitLE,FruitLN,SeedE,SeedN,shapeReS,shapeGrE,shapeCrO,shapeUcN,shapePuU,shapeCoM,shapeInS,shapeWa,pdReS,pdGrE,pdCrO,pdUcN,pdPuU,pdCoM,pdInS,pdWa,areaReS,areaGrE,areaCrO,areaUcN,areaPuU,areaCoM,areaInS,areaWa,contigReS,contigGrE,contigCrO,contigUcN,contigPuU,contigCoM,contigInS,contigWa,CoverEbox,RRatiobox,HeightEbox,LeafSEbox,InDEbox,InNEbox,FlowerDEbox,FruitLEbox,SeedEbox
summer,R,A1,1.599220566,0.890778121,100.1119552,73.61257245,19.25303662,23.75758073,1.728370058,38.65694833,13.29654588,2.948680566,4,4,6,0.4,0.1090158,0.058312628,43,171,0.691666667,0.6,8.229166666,56.85294118,10.025,19.72916667,23.75,287.2916667,9.666666667,2.56122449,12.48,2.591836735,0.738933333,16.67569388,1.698152559,1.967875562,1.886561255,1.62866674,1.487480948,1.588574924,1.642866194,1.796019089,0.368585071,7.740286485,2.211510424,3.685850707,1.105755212,0.368585071,2.948680566,4.054435778,NA,124.5331226,112.0191115,75.32202449,172.600044,NA,118.8207455,149.4865528,NA,3.551360453,1.893119277,1.959299488,65.86986391,NA,3.303987849,13.87130617,5.15866874,-0.871626471,-0.335469881,1.852896794,3.591466074,3.377004773,2.029742995,3.9116157,-0.31188853
summer,R,A2,1.63131149,0.890778121,97.50329955,66.36007553,19.90248695,27.76825314,1.728370058,43.79393767,13.46406426,2.947556356,1,2,4,0.333333333,0.089791848,0.17621945,26,89,0.57,0.7,22.83333333,100.2361111,7,5.5,52,40,5.6,5.95,8.25,1.96,0.365,0.8325,1.698152559,1.978797509,1.869814402,1.626519521,2.03747713,1.588574924,1.637930088,1.755737557,0.368444544,7.737335434,2.579111811,3.684445445,0.368444544,0.368444544,2.947556356,4.052889989,NA,126.5139502,134.428989,77.4197264,NA,NA,115.4263284,147.1422038,NA,3.515470089,1.734014659,1.97661137,NA,NA,3.365136742,1.902021469,4.276300236,-1.03482526,-0.487416986,2.589108538,2.818932088,4.280611505,1.582537364,3.031993188,-1.116619028
summer,R,A3,1.589371439,0.908506849,100.4650825,75.83011067,18.91872346,22.45940368,1.728370058,37.87833154,13.23178175,2.947458126,2,2,10,0.166666667,0.07367725,0.189956383,27,244,0.816666667,0.732738095,4.222222222,24.55833333,15,9,45,31.5,4.333333333,10.93181818,17.33333333,9.75,1.3612,3.746995238,1.764919734,1.959609554,1.86965732,1.630621335,1.759945965,1.588574924,1.643421913,1.805341876,0.736864532,7.737077582,2.210593595,3.684322658,0.736864532,0.368432266,2.947458126,3.684322658,135.9019246,124.2112022,110.3039139,74.68299725,140.7424426,NA,119.950232,139.0979424,21.43518895,3.555499135,1.903777215,1.947256648,9.541086593,NA,3.288830685,1.847573744,4.340055097,-1.626237986,-0.192224789,1.318140321,4.585824993,4.11176315,1.36389746,4.69902439,0.29905017
summer,W,A4,1.619424152,0.890778121,99.4263238,68.78782581,20.02224632,26.58042837,1.728370058,40.29739837,13.49626542,2.949530188,1,1,6,0.142857143,0,0.157316283,15,258,0.8,0.272631579,6.666666667,31.90050506,20,17.40909091,100,196.969697,3,4.212121212,6.9,13.67272727,0.047875,11.91623636,1.698152559,1.973563872,1.845168994,1.626730768,1.648203808,1.588574924,1.641351863,1.768498088,0.368691273,7.742516743,2.580838914,3.686912735,1.10607382,0.368691273,2.949530188,4.055604008,NA,125.3789619,129.3507572,77.91050278,172.5086012,NA,116.2291245,148.591481,NA,3.539449679,1.717183434,1.979597307,17.37721515,NA,3.333556029,2.114850884,3.389502466,-1.751746139,-0.2106839,1.688953292,5.389330204,5.056610865,1.040415402,2.687324073,-4.182231691
summer,FR,A5,1.642963132,0.890778121,98.38792688,62.27885002,20.99189919,30.95327337,1.728370058,42.73093762,13.62036652,2.945698966,2,2,7,0.222222222,0.17631563,0.188282809,20,222,0.9,0.705729167,7.666666668,20.89964912,16,13.75,42,122.2777778,4.166666667,4.957894737,20,3.294736842,7.332666667,12.70294444,1.698152559,1.976619511,1.887859377,1.622704132,1.653108458,1.588574924,1.637515687,1.751901484,0.368212371,7.732459785,2.577486595,3.682123707,1.104637112,0.368212371,2.945698966,4.050336078,NA,127.3828661,139.572689,82.76498563,172.4610915,NA,112.5303639,148.8422719,NA,3.530963488,1.811274443,2.001346772,9.893822076,NA,3.368613247,1.902213501,3.843570404,-1.386240933,-0.102526293,1.7982513,4.75891293,4.031533741,1.32995954,5.069207882,1.643260681
summer,W,A6,1.513669912,3.378227179,102.2875234,93.17785177,16.08791598,11.15317886,1.728370058,31.99094666,12.72922658,2.935421744,1,1,4,0.2,0,0.073137829,35,200,0.65,0.606521739,4,18.55873016,15,10.7047619,45,74.28571429,8,5.104761905,12,8.876190476,0.0876,3.695203883,1.458196132,1.898177805,1.768380809,1.661649949,1.663137661,1.588574924,1.675322861,1.867798194,1.100783154,8.072409795,2.201566308,3.66927718,0.733855436,0.366927718,2.568494026,3.302349462,111.8885876,128.4637982,102.3762568,87.24460249,141.4121808,NA,113.327326,131.9530346,86.61253413,3.532511501,1.983088316,1.911248583,141.4213562,NA,3.481877827,1.960846184,4.789029767,-1.475019938,-0.385943373,1.272828678,4.585824993,4.11176315,1.877476036,3.823100012,-3.137091191
summer,R,A7,1.670063806,0.890778121,94.16089163,54.10916278,21.49119805,37.23141388,1.728370058,49.20771225,13.58056733,2.936856548,2,3,8,0.272727273,0.087765855,0.169919538,15,279,0.633333333,0.844444444,4.822222222,27.76851852,9,9.7,26,59.86666667,5.166666667,6.069444444,11.08333333,6.444444444,0.755033333,0.685870588,1.698152559,1.977564716,1.7537537,1.622217058,1.932570741,1.588574924,1.632583816,1.745312059,0.367107068,7.709248438,2.936856548,3.671070685,0.367107068,0.367107068,2.936856548,4.038177753,NA,132.0866802,172.6160857,85.71216284,NA,NA,109.0252634,148.4136909,NA,3.748713522,4.072293342,2.009045458,NA,NA,3.415765245,1.902234935,3.389502466,-1.210705145,-0.406566232,1.428203837,3.348896652,3.479931644,1.514470343,3.6471824,-0.289039121
summer,FR,A8,1.71866745,0.890778121,85.12864752,36.53203366,39.12766414,58.29676066,1.728370058,41.92229054,13.84686006,2.883159201,2,2,4,0.333333333,0.038400842,0.167242749,80,159,0.766666667,0.75,6.074074074,22.98809524,18.88888889,12.85714286,87.77777778,132.1428571,4.111111111,3.785714286,8.033333333,2.071428571,0.056702778,5.5925,1.698152559,1.967013905,2.044852859,1.481289794,1.915346859,1.588574924,1.579525897,1.88862049,0.3603949,7.568292903,0.7207898,3.964343902,0.7207898,0.3603949,3.603949001,3.243554101,NA,180.4601113,119.8208793,131.539544,137.8490681,NA,135.8711954,140.4929054,NA,5.191400702,2.260767713,1.615994198,3.370602669,NA,3.041093623,1.588143819,6.350112283,-1.03482526,-0.248164597,1.61508711,5.222992622,4.900289409,1.318313913,2.979382364,-3.876650833
summer,FR,A10,1.71171701,0.890778121,74.78339211,37.49662118,51.77258882,66.45559357,1.728370058,30.53321106,11.78888039,2.90434431,3,3,4,0.428571429,0.131989752,0.135990062,30,143,0.375,0.659090909,17.61666667,22.51904762,8.24,9.285714286,31.4,25.62857143,15.2,20.68571429,11.16666667,9.914285714,7.37104,29.53842857,1.698152559,1.837663855,1.697814785,1.442939521,1.58958124,1.588574924,1.52684306,1.95951001,0.363043039,6.534774697,1.452172155,4.719559503,2.541301271,0.363043039,4.719559503,3.267387348,NA,196.8227282,160.7265634,192.245132,226.46076,NA,149.7193605,175.2580006,NA,9.680616852,1.376475207,2.412919327,1.536374301,NA,15.27853457,1.953344252,4.520092123,-0.809011261,-0.768313776,2.41080168,3.157366701,3.69572453,2.382444252,3.663571965,1.646762991
summer,FR,A12,1.661930592,5.049069325,53.89171451,13.39893832,42.66798255,52.0070422,2.57247459,95.88564358,8.028581033,2.925030238,1,1,4,0.2,0,0.189422294,25,132,0.8,0.585714286,6.666666666,34.01428571,20,16,100,115.4285714,3,6.457142857,6.9,25.05714286,0.047875,9.251085714,1.456570932,1.716535247,1.540703229,1.508591545,1.539493716,1.683682257,1.505784704,2.918352865,1.462515119,9.140719494,2.193772679,3.656287798,2.559401458,0.36562878,3.290659018,1.462515119,88.27422159,97.48381805,126.1382747,208.2210819,191.7986014,NA,206.0748682,175.7234952,1.429631474,3.850744887,8.57604859,5.268603096,29.12488426,NA,2.156751236,1.968761656,4.210451224,-1.475019938,-0.2106839,1.688953292,5.389330204,5.056610865,1.040415402,2.687324073,-4.182231691
